nombre_entidad,nit_entidad,sector
ESE HOSPITAL SAN FRANCISCO DE ASIS DE ANZA ANTIOQUIA,890397282,Salud y Protección Social
ESE HOSPITAL SANTA ANA DE BOLIVAR VALLE DEL CAUCA,891900414,Salud y Protección Social
ESE NUESTRA SEÑORA DE LA NATIVIDAD,826001918,Salud y Protección Social
ESJIM,800141206,defensa
ESM BATALLON DE ASPC NO2 CACIQUE ALFONSO XEQUE NIVEL I,901541212,Salud y Protección Social
ESM BATALLÓN ASPC NO 6,901541245,Servicio Público
ESM COMANDO AEREO DE COMBATE N5,901542789,defensa
ESM COMANDO AEREO DE COMBATE NO 1,901542613,defensa
ESM COMANDO AEREO DE COMBATE No 3,9015425882,Salud y Protección Social
ESM COMANDO AEREO DE COMBATE No 4,901542693,Salud y Protección Social
ESM COMANDO AEREO DE TRANSPORTE MILITAR,901542519,defensa
ESM COMANDO AÉREO DE COMBATE NO 2,901542623,defensa
ESM COMANDO AÉREO DE COMBATE NO 6,901542777,defensa
ESM COMANDO AÉREO DE MANTENIMIENTO,901542499,defensa
ESM ESCUELA MILITAR DE AVIACION,9015425732,defensa
ESPOL,800226849,defensa
ESTABLECIMIENTO CARCELARIO DE ZIPAQUIRA,832001785,Ley de Justicia
ESTABLECIMIENTO CARCELARIO PURIFICACION,809003243,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO ALTA Y MEDIANA SEGURIDAD Y CARCELARIO ALTA SEGURIDAD DE POPAYAN INPEC POPAYAN,817005159,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO CARCELARIO DE MEDIANA SEGURIDAD CARCEL DE BOLIVAR,811010098,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIA DE BOLIVAR CAUCA,900003814,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIA DE SANTA BARBARA,811010109,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIO SALAMINA,810001373,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE ANDES ANTIOQUIA  INPEC,811010135,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE RAMIRIQUI  INPEC,820000975,Servicio Público
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE SAN GIL SANTANDER  INPEC,804003933,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO CARTAGO,836000147,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ACACIAS,822004467,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE AGUACHICA INPEC,824000857,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ARAUCA  INPEC,834000421,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,829000754,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BUENAVENTURA  INPEC,835000452,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAICEDONIA,821000700,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAQUEZA,832001806,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CARTAGENA,890480218,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAUCASIA,811010133,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE DUIT,826000821,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE FLORENCIA  INPEC,828000309,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE FRESNO,809003231,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE GUATEQUE BOYACA,820000981,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE JERICO,811010104,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE LA UNIÓN INPEC,814001009,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE LETICIA,8380000752,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MAGANGUE,806003190,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MANIZALES,810001096,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MELGAR,809003305,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MONIQUIRAINPEC,820000970,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MONTERIA,812001571,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PAZ DE ARIPORO,844000697,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PENSILVANIA CALDAS,810001393,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA,816001832,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PUERTO BERRIO,811010107,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PUERTO BOYACÁ,820000992,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE RIOHACHA INPEC,825000432,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE RIOSUCIO CALDAS,810001055,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ROLDANILLO VALLE,821000765,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE SAN VICENTE DE CHUCURI,829000769,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE SANTA MARTA,819001461,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE SEVILLA  INPEC,821000631,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE TAMESIS,811010121,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE TUQUERRES,814001045,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE UBATE,832001816,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE VALLEDUPAR ERE,892301722,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE VELEZ,804004084,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE YOPAL  INPEC,844000729,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DEL GUAMO,809003292,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DEL LIBANO TOLIMA,809002634,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO GRANADA  META,822001393,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO INPEC DE IPIALES,837000111,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO LA MESA  INPEC,808000718,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO LA PLATA HUILA,813002057,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO OCAÑA,807001559,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO QUIBDO,818000409,interior
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO SOCORRO,804004058,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO LA ESPERANZA DE GUADUAS,900388272,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO LAS HELICONIAS,900416823,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO  EL BANCO MAGDALENA,819001482,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE BARRANQUILLA,802004295,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE MEDIANA SEGURIDAD PITALITO  INPEC,813001834,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PACORA,810001336,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PALMIRA,815000974,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PAMPLONA  INPEC,890505988,Servicio Público
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE SOGAMOSO,826000801,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE TIERRALTA,900127169,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE TULUA,821000732,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE VILLETA,832001795,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO PUERTO TEJADA,817001031,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SAN ANDRES INPEC,827000237,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SANTA ROSA DE OSOS,811010111,Ley de Justicia
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SANTANDER DE QUILICHAO,800143359,Ley de Justicia
ETNOEDUCATIVA KUEDSI J,813011028,Educación Nacional
Empresa Nacional Promotora del Desarrollo Territorial  ENTerritorio,899999316,Planeación
Empresa de Servicios Públicos de Caloto,817000100,No aplica/No pertenece
FINANCIERA DE DESARROLLO NACIONAL SA,860509022,Hacienda y Crédito Público
FISCALÍA GENERAL DE LA NACIÓN NIVEL CENTRAL,800152783,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL CARIBE,800187568,No aplica/No pertenece
FISCALÍA GENERAL DE LA NACIÓN REGIONAL CENTRAL,800187567,Servicio Público
FISCALÍA GENERAL DE LA NACIÓN REGIONAL CENTROSUR,8001875909,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL EJE CAFETERO,800187615,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL NOROCCIDENTAL,800187597,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL NORORIENTAL,800187569,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL ORINOQUÍA,800187645,Ley de Justicia
FISCALÍA GENERAL DE LA NACIÓN REGIONAL PACÍFICO,800187575,Ley de Justicia
FONAM  DTAN,901037393,Ambiente y Desarrollo Sostenible
FONDANE  DIR TER NOROCCIDENTE,800072977,Información Estadística
FONDANE  DIRECCION TERRITORIAL CENTRO,800072977,Información Estadística
FONDO ADAPTACIÓN,900450205,Hacienda y Crédito Público
FONDO DE BIENESTAR SOCIAL DE LA CONTRALORIA GENERAL DE LA REPUBLICA,800252683,No aplica/No pertenece
FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA ENTIDAD,800112806,Salud y Protección Social
FONDO DE PREVISION SOCIAL DEL CONGRESO DE LA REPUBLICA,899999734,Salud y Protección Social
FONDO ESPECIAL PARA LA ADMINISTRACIÓN DE BIENES DE LA FISCALÍA GENERAL DE LA NACIÓN,901148337,Ley de Justicia
FONDO NACIONAL AMBIENTAL  ANLA,830025267,Ambiente y Desarrollo Sostenible
FONDO NACIONAL DE VIVIENDA,830121208,"Vivienda, Ciudad y Territorio"
FONDO NACIONAL DEL AHORRO,899999284,"Vivienda, Ciudad y Territorio"
FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO,800116398,agricultura
FONDO ROTATORIO DE LA POLICIA NACIONAL,860020227,defensa
FONDO ROTATORIO DE LA REGISTRADURIA,899999737,No aplica/No pertenece
FONDO ROTATORIO DEL DANE  FONDANE  DIRECCIÓN TERRITORIAL CENTRO OCCIDENTE,800072977,Información Estadística
FONDO ROTATORIO DEL DANE FONDANE,800072977,Información Estadística
FONDO ROTATORIO DEL DANE FONDANESUROCCIDENTE,800072977,Información Estadística
FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES,8605110716,Relaciones Exteriores
FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,8001316486,Tecnologías de la Información y las Comunicaciones
FUNDACION CARDIOINFANTIL  INSTITUTO DE CARDIOLOGIA,860035992,Salud y Protección Social
FUNDACION CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO EN CIENCIAS APLICADAS,9008377764,Ciencia Tecnología
FUNDACION PARQUE TECNOLOGICO DE SOFTWARE DE BOGOTA,9001622844,Ciencia Tecnología
FUNDACION SOCIAL RENOVANDO VIDAS,9007028558,No aplica/No pertenece
FUNDACION TECNALIA COLOMBIA,9001809135,Ciencia Tecnología
FUNDACIÓN CENTRO INTERNACIONAL DE EDUCACIÓN Y DESARROLLO HUMANO CINDE,8600515508,Ciencia Tecnología
GILBERTO CABRERA OLIVO,802011172,Educación Nacional
GOBERNACION DEL VALLE SECRETARIA DE MUJER EQUIDAD DE GENERO Y DIVERSIDAD SEXUAL,890399029,No aplica/No pertenece
GRUPO DE CABALLERIA MECANIZADO No 18,800130812,defensa
GUAVIARE SANIDAD,8002527222,defensa
HOSPITAL CENTRAL DE LA POLICIA,830067597,defensa
HOSPITAL DE MANATI ATLANTICO ESE,802010401,Salud y Protección Social
HOSPITAL EL BUEN SAMARITANO ESE,891201410,Salud y Protección Social
HOSPITAL JORGE ISAAC RINCON TORRES,824000543,defensa
HOSPITAL MILITAR CENTRAL,830040256,defensa
HOSPITAL NAVAL DE CARTAGENA,9015410214,Salud y Protección Social
HOSPITAL SAN JUAN BOSCO,824000450,Salud y Protección Social
HOSPITAL SAN JUAN DE DIOS EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE ANZOATEGUI,800163519,Salud y Protección Social
HOSPITAL SAN LUCAS DE EL MOLINO,8250001406,Salud y Protección Social
HOSPITAL SAN RAFAEL EL CERRITO,891380103,Salud y Protección Social
ICANH,830067892,Cultura
ICBF,899999239,No aplica/No pertenece
ICBF REGIONAL AMAZONAS,899999239,Salud y Protección Social
ICBF REGIONAL ANTIOQUIA,899999239,Salud y Protección Social
ICBF REGIONAL ARAUCA,899999239,Salud y Protección Social
ICBF REGIONAL ATLANTICO,8999992392,Salud y Protección Social
ICBF REGIONAL BOGOTA,899999239,Salud y Protección Social
ICBF REGIONAL BOLIVAR,899999239,Salud y Protección Social
ICBF REGIONAL CALDAS,899999239,Salud y Protección Social
ICBF REGIONAL CAQUETA,899999239,Salud y Protección Social
ICBF REGIONAL CASANARE,899999239,Salud y Protección Social
ICBF REGIONAL CAUCA,899999239,Salud y Protección Social
ICBF REGIONAL CESAR,899999239,Salud y Protección Social
ICBF REGIONAL CHOCO,899999239,Salud y Protección Social
ICBF REGIONAL CORDOBA,899999239,Salud y Protección Social
ICBF REGIONAL GUAJIRA,899999239,No aplica/No pertenece
ICBF REGIONAL GUAVIARE,899999239,Salud y Protección Social
ICBF REGIONAL HUILA,899999239,Salud y Protección Social
ICBF REGIONAL MAGDALENA,899999239,Salud y Protección Social
ICBF REGIONAL META,899999239,Salud y Protección Social
ICBF REGIONAL NARIÑO,899999239,Salud y Protección Social
ICBF REGIONAL NORTE DE SANTANDER,899999239,Salud y Protección Social
ICBF REGIONAL PUTUMAYO,899999239,Salud y Protección Social
ICBF REGIONAL QUINDIO,899999239,Salud y Protección Social
ICBF REGIONAL SAN ANDRES,899999239,Salud y Protección Social
ICBF REGIONAL SANTANDER,8999992391,Salud y Protección Social
ICBF REGIONAL SUCRE,899999239,Salud y Protección Social
ICBF REGIONAL TOLIMA,899999239,Salud y Protección Social
ICBF REGIONAL VALLE DEL CAUCA,899999239,Salud y Protección Social
ICBF REGIONAL VAUPES,899999239,Salud y Protección Social
ICBF REGIONAL VICHADA,899999239,Salud y Protección Social
ICBF RISARALDA,899999239,Salud y Protección Social
IE FRANCISCO JOSE DE CALDAS OFICIAL,890103051,Educación Nacional
IE Jorge Eliecer Gaitan,809005215,Educación Nacional
IED COLEGIO EL TESORO LA CUMBRE,830097774,Educación Nacional
IMPRENTA NACIONAL DE COLOMBIA,830001113,interior
INDUSTRIA MILITAR,899999044,defensa
INPEC  ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE SANTO DOMINGO,811010132,Ley de Justicia
INPEC APARTADO,811046676,Ley de Justicia
INPEC CÁRCEL Y PENITENCIA DE ALTA Y MEDIANA SEGURIDAD DE VALLEDUPAR,824003186,Ley de Justicia
INPEC ESTABLECIMIENTO CARCELARIO BARRANQUILLA  JYP,890102201,Ley de Justicia
INPEC ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE SINCELEJO,823000931,Ley de Justicia
INPEC LA CEJA,811010105,Ley de Justicia
INPECCÁRCEL Y PENITENCIARIA DE MEDIA SEGURIDAD PARA MUJERES DE BUCARAMANGA,804003138,Ley de Justicia
INPECRECLUSION DE MUJERES DE PEREIRA,816001925,Ley de Justicia
INS,899999403,Salud y Protección Social
INSTITUCION  EDUCATIVA SANTO ANGEL BUCARAMANGA SANTANDER,804001456,Educación Nacional
INSTITUCION EDUCATIVA ALFREDO BONILLA MONTAÑO,805016602,Educación Nacional
INSTITUCION EDUCATIVA ANTONIA SANTOS DE MALAMBO,802006959,Educación Nacional
INSTITUCION EDUCATIVA BICENTENARIO,900272394,Educación Nacional
INSTITUCION EDUCATIVA BUENOS AIRES,832002055,Educación Nacional
INSTITUCION EDUCATIVA CHAPIURCO,900603195,Educación Nacional
INSTITUCION EDUCATIVA CIUDAD LATINA,832004271,Educación Nacional
INSTITUCION EDUCATIVA CIUDAD VERDE,901359779,Educación Nacional
INSTITUCION EDUCATIVA COLEGIO GUATIQUIA,822000488,Educación Nacional
INSTITUCION EDUCATIVA DE PROMOCION SOCIAL DE CARTAGENA,806011976,Educación Nacional
INSTITUCION EDUCATIVA DEPARTAMENTAL DE FUNZA,8001113866,Educación Nacional
INSTITUCION EDUCATIVA DEPARTAMENTAL FRANCISCO JOSE DE CALDAS,890680065,Educación Nacional
INSTITUCION EDUCATIVA DEPARTAMENTAL LICEO PIVIJAY,891780222,Educación Nacional
INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA HELENA,808003801,Educación Nacional
INSTITUCION EDUCATIVA DISTRITAL EL VALLE,8020023139,Educación Nacional
INSTITUCION EDUCATIVA EDUARDO AGUILAR,811019131,Educación Nacional
INSTITUCION EDUCATIVA EL SALVADOR,811017439,Educación Nacional
INSTITUCION EDUCATIVA HELION PINEDO RIOS,892115351,Educación Nacional
INSTITUCION EDUCATIVA INDIGENA TECNICA AGROAMBIENTAL BILINGÜE AWA,900000095,Educación Nacional
INSTITUCION EDUCATIVA INSTITUTO EDUCATIVO DE FORMACION INTERCULTURAL COMUNITARIO KWESX UMA KIWE,817006536,Educación Nacional
INSTITUCION EDUCATIVA JORGE ELIECER GAITAN,844003623,Educación Nacional
INSTITUCION EDUCATIVA JOSE FELIX RESTREPO,805027629,Educación Nacional
INSTITUCION EDUCATIVA JOSE MARIA VILLA,811040340,Educación Nacional
INSTITUCION EDUCATIVA JOSE YANCES MUTIS,812002000,Educación Nacional
INSTITUCION EDUCATIVA JUVENIL NUEVO FUTURO,811021956,Educación Nacional
INSTITUCION EDUCATIVA LA FILA,809006850,Educación Nacional
INSTITUCION EDUCATIVA LAS MERCEDES,812002056,Educación Nacional
INSTITUCION EDUCATIVA LICEO DEL PACIFICO,840000788,Educación Nacional
INSTITUCION EDUCATIVA LICEO ISABEL LA CATOLICA,890807637,Educación Nacional
INSTITUCION EDUCATIVA LOS NARANJOS,900075954,Educación Nacional
INSTITUCION EDUCATIVA MARIA MANDIGUAGUA,8130100826,Educación Nacional
INSTITUCION EDUCATIVA MARIANO OSPINA PEREZ,820001943,Educación Nacional
INSTITUCION EDUCATIVA NOBEL JUAN MANUEL SANTOS,901089263,Educación Nacional
INSTITUCION EDUCATIVA NORMAL SUPERIOR DEL PUTUMAYO,800092360,Educación Nacional
INSTITUCION EDUCATIVA PABLO VI,9003701396,Educación Nacional
INSTITUCION EDUCATIVA PASO NUEVO,812002605,Educación Nacional
INSTITUCION EDUCATIVA PAZ Y LIBERTAD,900225989,Educación Nacional
INSTITUCION EDUCATIVA PEDREGAL ALTO,900253334,Educación Nacional
INSTITUCION EDUCATIVA PRESBITERO HORACIO GOMEZ GALLO,800029321,Educación Nacional
INSTITUCION EDUCATIVA RURAL AVENIDA EL CARAÑO,828002097,Educación Nacional
INSTITUCION EDUCATIVA RURAL BAJO CALDAS,900022567,Educación Nacional
INSTITUCION EDUCATIVA RURAL EL SALITRE FLORENCIA  CAQUETA,800045645,Educación Nacional
INSTITUCION EDUCATIVA RURAL LUIS VIDALES DE PIÑUÑA NEGRO,846003423,Educación Nacional
INSTITUCION EDUCATIVA SAN ANTONIO DE PIOJO,890108028,Educación Nacional
INSTITUCION EDUCATIVA SAN FRANCISCO,823001555,Educación Nacional
INSTITUCION EDUCATIVA SAN FRANCISCO EL PAKI,823001740,Educación Nacional
INSTITUCION EDUCATIVA SAN JOSE DE MAJAGUAL  SUCRE,8001276892,Educación Nacional
INSTITUCION EDUCATIVA SAN MATEO  SOACHA CUNDINAMARCA,832004316,Educación Nacional
INSTITUCION EDUCATIVA SANTA CRUZ DE ISLOTE,806009730,Educación Nacional
INSTITUCION EDUCATIVA SANTO ANGEL,809010642,Educación Nacional
INSTITUCION EDUCATIVA SANTO DOMINGO SAVIO,811042215,Educación Nacional
INSTITUCION EDUCATIVA SANTO DOMINGO VIDAL,8001898142,Educación Nacional
INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,806011971,Educación Nacional
INSTITUCION EDUCATIVA TECNICA DEPARTAMENTAL RAFAEL JIMENEZ ALTAHONA,819002687,Educación Nacional
INSTITUCION EDUCATIVA TECNICA EL PORTACHUELO,826001075,Educación Nacional
INSTITUCION EDUCATIVA TECNICA INDUSTRIAL ANTONIO RICAURTE,800072525,Educación Nacional
INSTITUCION EDUCATIVA TECNICA INDUSTRIAL VILLA MARIA,802011734,Educación Nacional
INSTITUCION EDUCATIVA TECNICA SAN DIEGO DE ALCALA,8002313742,Educación Nacional
INSTITUCION EDUCATIVA TECNICA SANFRANCISCO DE ASIS,814004251,Educación Nacional
INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LAS PIEDRAS,823000601,Educación Nacional
INSTITUCION EDUCATIVA TECNICO MANUEL BRICEÑO,820001699,Educación Nacional
INSTITUCION EDUCATIVA VADO CASTRO,826001967,Educación Nacional
INSTITUCION EDUCATIVA ZARAGOZA  CARTAGO,800034326,Educación Nacional
INSTITUCION EDUCATIVS LAS AMERICASBUCARAMANGA,804003902,Educación Nacional
INSTITUCION ETNOEDUCATIVA RURAL GUAMACHITO,825003249,Educación Nacional
INSTITUCION ETNOEDUCATIVA TECNICA NASAWESX FIZÑI,900062183,Educación Nacional
INSTITUCIÓN EDUCATIVA ALTO CITACÁ,9010276338,Educación Nacional
INSTITUCIÓN EDUCATIVA DE GRANADA,8001640693,Educación Nacional
INSTITUCIÓN EDUCATIVA DEPARTAMENTAL JOSUE MANRIQUE,832000733,Educación Nacional
INSTITUCIÓN EDUCATIVA INEM LUIS LOPEZ DE MESA,892099144,Educación Nacional
INSTITUCIÓN EDUCATIVA JORGE ARTEL,901374443,Educación Nacional
INSTITUCIÓN EDUCATIVA JOSE MARÍA NAVARRETE,814002386,Educación Nacional
INSTITUCIÓN EDUCATIVA LA UNIÓN,8130130772,Educación Nacional
INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR DE SAN MATEO,800228968,Educación Nacional
INSTITUCIÓN EDUCATIVA PAZ Y ESPERANZA,9003701491,Educación Nacional
INSTITUCIÓN EDUCATIVA TECNICA SAN ANTONIO,805018753,Educación Nacional
INSTITUCIÓN EDUCATIVA VILLA CECILIA DE SARAVENA,834001738,Educación Nacional
INSTITUTO  DISTRITAL DE CIENCIA BIOTECNOLOGIA E INNOVACIÓN EN SALUD  IDCBIS,9010347905,Ciencia Tecnología
INSTITUTO CARO Y CUERVO,899999096,Cultura
INSTITUTO COLOMBIANO AGROPECUARIO  ICA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  ICA SANTANDER,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  ICA SECCIONAL NORTE DE SANTANDER,8999990697,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL  AMAZONAS,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL ANTIOQUIA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL ARAUCA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL BOLIVAR,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL BOYACA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL CAUCA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL CORDOBA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL CUNDINAMARCA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL GUAINIA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL GUAVIARE,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL HUILA,8999990697,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL NARIÑO,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL QUINDÍO,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL RISARALDA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL SUCRE,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL TOLIMA,899999069,agricultura
INSTITUTO COLOMBIANO AGROPECUARIO  SECCIONAL VALLE,899999069,agricultura
