tipo,nivel,CTA_PROG,SUBC_SUBP,CONCEPTO,SECCION,ENTIDAD,APORTE_NACIONAL,RECURSOS_PROPIOS,TOTAL
Inversión,partida,3699,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR TRABAJO,SECCIÓN:  3613,UNIDAD ADMINISTRATIVA ESPECIAL DEL SERVICIO PÚBLICO DE EMPLEO,"7,188,977,109",,"7,188,977,109"
Inversión,subpartida,,1300,INTERSUBSECTORIAL TRABAJO Y BIENESTAR SOCIAL,SECCIÓN:  3613,UNIDAD ADMINISTRATIVA ESPECIAL DEL SERVICIO PÚBLICO DE EMPLEO,"7,188,977,109",,"7,188,977,109"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3613,UNIDAD ADMINISTRATIVA ESPECIAL DEL SERVICIO PÚBLICO DE EMPLEO,"30,909,157,000",,"30,909,157,000"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"848,654,700,000",,"848,654,700,000"
Inversión,total,Inversión,,,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"534,383,750,314",,"534,383,750,314"
Inversión,partida,3701,,"FORTALECIMIENTO INSTITUCIONAL A LOS PROCESOS ORGANIZATIVOS DE CONCERTACIÓN; GARANTÍA, PREVENCIÓN Y RESPETO DE LOS DERECHOS HUMANOS COMO FUNDAMENTOS PARA LA PAZ",SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"236,451,046,540",,"236,451,046,540"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"236,451,046,540",,"236,451,046,540"
Inversión,partida,3702,,"FORTALECIMIENTO A LA GOBERNABILIDAD TERRITORIAL PARA LA SEGURIDAD, CONVIVENCIA CIUDADANA, PAZ Y POST-CONFLICTO",SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"206,312,033,277",,"206,312,033,277"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"206,312,033,277",,"206,312,033,277"
Inversión,partida,3703,,POLÍTICA PÚBLICA DE VÍCTIMAS DEL CONFLICTO ARMADO Y POSTCONFLICTO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"2,612,773,306",,"2,612,773,306"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"2,612,773,306",,"2,612,773,306"
Inversión,partida,3704,,"PARTICIPACIÓN CIUDADANA, POLÍTICA Y DIVERSIDAD DE CREENCIAS",SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"54,997,246,000",,"54,997,246,000"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"54,997,246,000",,"54,997,246,000"
Inversión,partida,3799,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR INTERIOR,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"34,010,651,191",,"34,010,651,191"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"34,010,651,191",,"34,010,651,191"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3701,MINISTERIO DEL INTERIOR,"1,383,038,450,314",,"1,383,038,450,314"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3703,DIRECCIÓN NACIONAL DEL DERECHO DE AUTOR,"5,280,400,000",,"5,280,400,000"
Inversión,total,Inversión,,,SECCIÓN:  3703,DIRECCIÓN NACIONAL DEL DERECHO DE AUTOR,"816,442,507",,"816,442,507"
Inversión,partida,3706,,"PROTECCIÓN, PROMOCIÓN Y DIFUSIÓN DEL DERECHO DE AUTOR Y LOS DERECHOS CONEXOS",SECCIÓN:  3703,DIRECCIÓN NACIONAL DEL DERECHO DE AUTOR,"816,442,507",,"816,442,507"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3703,DIRECCIÓN NACIONAL DEL DERECHO DE AUTOR,"816,442,507",,"816,442,507"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3703,DIRECCIÓN NACIONAL DEL DERECHO DE AUTOR,"6,096,842,507",,"6,096,842,507"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3704,CORPORACIÓN NACIONAL PARA LA RECONSTRUCCIÓN DE LA CUENCA DEL RÍO PÁEZ Y ZONAS ALEDAÑAS NASA KI WE,"4,073,400,000",,"4,073,400,000"
Inversión,total,Inversión,,,SECCIÓN:  3704,CORPORACIÓN NACIONAL PARA LA RECONSTRUCCIÓN DE LA CUENCA DEL RÍO PÁEZ Y ZONAS ALEDAÑAS NASA KI WE,"10,754,247,508",,"10,754,247,508"
Inversión,partida,3707,,GESTIÓN DEL RIESGO DE DESASTRES NATURALES Y ANTRÓPICOS EN LA ZONA DE INFLUENCIA DEL VOLCÁN NEVADO DEL HUILA,SECCIÓN:  3704,CORPORACIÓN NACIONAL PARA LA RECONSTRUCCIÓN DE LA CUENCA DEL RÍO PÁEZ Y ZONAS ALEDAÑAS NASA KI WE,"10,754,247,508",,"10,754,247,508"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3704,CORPORACIÓN NACIONAL PARA LA RECONSTRUCCIÓN DE LA CUENCA DEL RÍO PÁEZ Y ZONAS ALEDAÑAS NASA KI WE,"10,754,247,508",,"10,754,247,508"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3704,CORPORACIÓN NACIONAL PARA LA RECONSTRUCCIÓN DE LA CUENCA DEL RÍO PÁEZ Y ZONAS ALEDAÑAS NASA KI WE,"14,827,647,508",,"14,827,647,508"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"2,036,488,300,000","164,697,000,000","2,201,185,300,000"
Servicio de deuda,total,Servicio de deuda,,,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"3,610,711,702",,"3,610,711,702"
Inversión,total,Inversión,,,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"4,403,313,940",,"4,403,313,940"
Inversión,partida,3799,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR INTERIOR,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"4,403,313,940",,"4,403,313,940"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"4,403,313,940",,"4,403,313,940"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3708,UNIDAD NACIONAL DE PROTECCIÓN - UNP,"2,044,502,325,642","164,697,000,000","2,209,199,325,642"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3709,DIRECCIÓN NACIONAL DE BOMBEROS,"6,326,800,000",,"6,326,800,000"
Inversión,total,Inversión,,,SECCIÓN:  3709,DIRECCIÓN NACIONAL DE BOMBEROS,"62,050,000,000",,"62,050,000,000"
Inversión,partida,3708,,FORTALECIMIENTO INSTITUCIONAL Y OPERATIVO DE LOS BOMBEROS DE COLOMBIA,SECCIÓN:  3709,DIRECCIÓN NACIONAL DE BOMBEROS,"62,050,000,000",,"62,050,000,000"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3709,DIRECCIÓN NACIONAL DE BOMBEROS,"62,050,000,000",,"62,050,000,000"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3709,DIRECCIÓN NACIONAL DE BOMBEROS,"68,376,800,000",,"68,376,800,000"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,"5,690,268,054","28,692,040,127","34,382,308,181"
Inversión,total,Inversión,,,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,,"104,270,494,380","104,270,494,380"
Inversión,partida,0504,,ADMINISTRACIÓN Y VIGILANCIA DE LAS CARRERAS ADMINISTRATIVAS DE LOS SERVIDORES PÚBLICOS,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,,"91,117,449,493","91,117,449,493"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,,"91,117,449,493","91,117,449,493"
Inversión,partida,0599,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR EMPLEO PÚBLICO,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,,"13,153,044,887","13,153,044,887"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,,"13,153,044,887","13,153,044,887"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3801,COMISIÓN NACIONAL DEL SERVICIO CIVIL,"5,690,268,054","132,962,534,507","138,652,802,561"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","30,401,222,000",,"30,401,222,000"
Inversión,total,Inversión,,,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","367,474,229,073",,"367,474,229,073"
Inversión,partida,3902,,INVESTIGACIÓN CON CALIDAD E IMPACTO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","126,501,588,661",,"126,501,588,661"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","126,501,588,661",,"126,501,588,661"
Inversión,partida,3903,,DESARROLLO TECNOLÓGICO E INNOVACIÓN PARA CRECIMIENTO EMPRESARIAL,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","17,782,613,990",,"17,782,613,990"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","17,782,613,990",,"17,782,613,990"
Inversión,partida,3905,,FORTALECIMIENTO DE LA GOBERNANZA E INSTITUCIONALIDAD MULTINIVEL DEL SECTOR DE CTEI,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","19,476,196,274",,"19,476,196,274"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","19,476,196,274",,"19,476,196,274"
Inversión,partida,3906,,"FOMENTO A VOCACIONES Y FORMACIÓN, GENERACIÓN, USO Y APROPIACIÓN SOCIAL DEL CONOCIMIENTO DE LA CIENCIA, TECNOLOGÍA E INNOVACIÓN",SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","176,235,457,578",,"176,235,457,578"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","176,235,457,578",,"176,235,457,578"
Inversión,partida,3999,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR CIENCIA Y TECNOLOGÍA,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","27,478,372,570",,"27,478,372,570"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","27,478,372,570",,"27,478,372,570"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  3901,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","397,875,451,073",,"397,875,451,073"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","3,733,538,903,562",,"3,733,538,903,562"
Inversión,total,Inversión,,,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","1,479,925,488,518",,"1,479,925,488,518"
Inversión,partida,4001,,ACCESO A SOLUCIONES DE VIVIENDA,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","67,880,000,000",,"67,880,000,000"
Inversión,subpartida,,1400,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","67,880,000,000",,"67,880,000,000"
Inversión,partida,4002,,ORDENAMIENTO TERRITORIAL Y DESARROLLO URBANO,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","88,735,000,000",,"88,735,000,000"
Inversión,subpartida,,1400,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","88,735,000,000",,"88,735,000,000"
Inversión,partida,4003,,ACCESO DE LA POBLACIÓN A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","1,254,942,083,626",,"1,254,942,083,626"
Inversión,subpartida,,1400,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","1,254,942,083,626",,"1,254,942,083,626"
Inversión,partida,4099,,"FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR VIVIENDA, CIUDAD Y TERRITORIO",SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","68,368,404,892",,"68,368,404,892"
Inversión,subpartida,,1400,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","68,368,404,892",,"68,368,404,892"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4001,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO","5,213,464,392,080",,"5,213,464,392,080"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4002,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,"9,000,000,000",,"9,000,000,000"
Inversión,total,Inversión,,,SECCIÓN:  4002,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,"4,358,877,949,869",,"4,358,877,949,869"
Inversión,partida,4001,,ACCESO A SOLUCIONES DE VIVIENDA,SECCIÓN:  4002,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,"4,358,877,949,869",,"4,358,877,949,869"
Inversión,subpartida,,1400,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SECCIÓN:  4002,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,"4,358,877,949,869",,"4,358,877,949,869"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4002,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,"4,367,877,949,869",,"4,367,877,949,869"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"245,489,819,882",,"245,489,819,882"
Inversión,total,Inversión,,,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"10,319,740,829,267",,"10,319,740,829,267"
Inversión,partida,4103,,INCLUSIÓN SOCIAL Y PRODUCTIVA PARA LA POBLACIÓN EN SITUACIÓN DE VULNERABILIDAD,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"10,307,740,829,267",,"10,307,740,829,267"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"10,307,740,829,267",,"10,307,740,829,267"
Inversión,partida,4199,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR INCLUSIÓN SOCIAL Y RECONCILIACIÓN,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"12,000,000,000",,"12,000,000,000"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"12,000,000,000",,"12,000,000,000"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4101,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,"10,565,230,649,149",,"10,565,230,649,149"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"1,915,966,121,800","64,116,508,800","1,980,082,630,600"
Inversión,total,Inversión,,,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"2,376,887,833,325",,"2,376,887,833,325"
Inversión,partida,4101,,"ATENCIÓN, ASISTENCIA  Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS",SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"2,311,965,482,359",,"2,311,965,482,359"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"2,311,965,482,359",,"2,311,965,482,359"
Inversión,partida,4199,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR INCLUSIÓN SOCIAL Y RECONCILIACIÓN,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"64,922,350,966",,"64,922,350,966"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"64,922,350,966",,"64,922,350,966"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4104,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,"4,292,853,955,125","64,116,508,800","4,356,970,463,925"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"17,012,047,067",,"17,012,047,067"
Inversión,total,Inversión,,,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"38,743,301,150",,"38,743,301,150"
Inversión,partida,4101,,"ATENCIÓN, ASISTENCIA  Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS",SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"34,649,790,526",,"34,649,790,526"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"34,649,790,526",,"34,649,790,526"
Inversión,partida,4199,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR INCLUSIÓN SOCIAL Y RECONCILIACIÓN,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"4,093,510,624",,"4,093,510,624"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"4,093,510,624",,"4,093,510,624"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4105,CENTRO DE MEMORIA HISTÓRICA,"55,755,348,217",,"55,755,348,217"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4201,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA,"149,047,000,000",,"149,047,000,000"
Inversión,total,Inversión,,,SECCIÓN:  4201,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA,"36,538,191,002",,"36,538,191,002"
Inversión,partida,4201,,DESARROLLO DE INTELIGENCIA ESTRATÉGICA Y CONTRAINTELIGENCIA DE ESTADO,SECCIÓN:  4201,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA,"36,538,191,002",,"36,538,191,002"
Inversión,subpartida,,0100,INTERSUBSECTORIAL DEFENSA Y SEGURIDAD,SECCIÓN:  4201,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA,"36,538,191,002",,"36,538,191,002"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4201,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA,"185,585,191,002",,"185,585,191,002"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"61,547,885,666",,"61,547,885,666"
Inversión,total,Inversión,,,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"1,250,992,260,657",,"1,250,992,260,657"
Inversión,partida,4301,,"FOMENTO A LA RECREACIÓN, LA ACTIVIDAD FÍSICA Y EL DEPORTE PARA DESARROLLAR ENTORNOS DE CONVIVENCIA Y PAZ",SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"387,493,501,448",,"387,493,501,448"
Inversión,subpartida,,1604,RECREACIÓN Y DEPORTE,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"387,493,501,448",,"387,493,501,448"
Inversión,partida,4302,,FORMACIÓN Y PREPARACIÓN DE DEPORTISTAS,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"811,153,521,771",,"811,153,521,771"
Inversión,subpartida,,1604,RECREACIÓN Y DEPORTE,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"811,153,521,771",,"811,153,521,771"
Inversión,partida,4399,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR DEPORTE Y RECREACIÓN,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"52,345,237,438",,"52,345,237,438"
Inversión,subpartida,,1604,RECREACIÓN Y DEPORTE,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"52,345,237,438",,"52,345,237,438"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4301,MINISTERIO DEL DEPORTE,"1,312,540,146,323",,"1,312,540,146,323"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"475,574,000,000",,"475,574,000,000"
Inversión,total,Inversión,,,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"189,517,775,282",,"189,517,775,282"
Inversión,partida,4401,,JURISDICCIÓN ESPECIAL PARA LA PAZ,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"164,305,761,550",,"164,305,761,550"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"164,305,761,550",,"164,305,761,550"
Inversión,partida,4499,,"FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR SISTEMA INTEGRAL DE VERDAD , JUSTICIA, REPARACIÓN Y NO REPETICIÓN",SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"25,212,013,732",,"25,212,013,732"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"25,212,013,732",,"25,212,013,732"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4401,JURISDICCIÓN ESPECIAL PARA LA PAZ,"665,091,775,282",,"665,091,775,282"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"102,387,000,000",,"102,387,000,000"
Inversión,total,Inversión,,,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"76,394,293,880",,"76,394,293,880"
Inversión,partida,4403,,BÚSQUEDA HUMANITARIA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO EN COLOMBIA.,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"36,984,617,615",,"36,984,617,615"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"36,984,617,615",,"36,984,617,615"
Inversión,partida,4499,,"FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR SISTEMA INTEGRAL DE VERDAD , JUSTICIA, REPARACIÓN Y NO REPETICIÓN",SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"39,409,676,265",,"39,409,676,265"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"39,409,676,265",,"39,409,676,265"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  4403,UNIDAD DE BÚSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZÓN DEL CONFLICTO ARMADO (UBPD),"178,781,293,880",,"178,781,293,880"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  4602,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),,"1,066,543,526,750","1,066,543,526,750"
Inversión,total,Inversión,,,SECCIÓN:  4602,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),"6,321,058,099,741","3,339,488,303,373","9,660,546,403,114"
Inversión,partida,4602,,"DESARROLLO INTEGRAL DE LA PRIMERA INFANCIA A LA JUVENTUD, Y FORTALECIMIENTO DE LAS CAPACIDADES DE LAS FAMILIAS DE NIÑAS, NIÑOS Y ADOLESCENTES - SECTOR IGUALDAD Y EQUIDAD",SECCIÓN:  4602,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),"6,321,058,099,741","2,709,500,571,013","9,030,558,670,754"
Inversión,subpartida,,1500,INTERSUBSECTORIAL DESARROLLO SOCIAL,SECCIÓN:  4602,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),"6,321,058,099,741","2,709,500,571,013","9,030,558,670,754"
Inversión,partida,4699,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR IGUALDAD Y EQUIDAD,SECCIÓN:  4602,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),,"629,987,732,360","629,987,732,360"
